licence_num,使用分區,其他基地面積,原建照,地上層數,地上避難面積,地下層數,地下避難面積,工程造價,幢數,建物高度,建築面積,建造類別,戶數,棟數,構造種類,法定空地面積,發照日期,竣工日期,簷高,開工日期,騎樓基地面積
100使字第0130號,住3,414,097建字第0510號,7,,2,325.09,1875.0,1,26.9,186.12,新建,10,1,RC造,227.65,2011-05-06,2011-01-24,26.75,2009-07-20,0
100使字第0131號,住2,309,096建字第0621號,5,0,1,259.9,609.0,0,17.5,103.02,新建,5,1,RC造,205.98,2011-05-09,2010-04-19,,2008-07-31,0
100使字第0132號,住宅區,,061建(景)字第0030號,4,,1,,23.0,1,12.4,437.25,新建,24,1,RC造,,2011-05-09,,,,
100使字第0133號,國小用地(公共設施用地),23325,098建字第0480號,2,0,0,0,59.0,0,5.28,5867.64,增建,1,1,型鋼,17457.36,2011-05-09,2010-11-10,,2010-01-15,0
100使字第0134號,公共設施用地,14387,098建字第0255號,4,0,0,0,2535.0,2,13.9,4116.1,新建,0,2,RC造,10270.9,2011-05-09,2010-08-25,,2009-10-23,0
100使字第0135號,第三種商業區,505.14,094建字第0696號,15,0,4,489.07,9428.0,1,49.95,328.22,新建,48,1,RC造、鋼骨造,176.73,2011-05-10,2011-01-27,,2006-08-22,77.86
100使字第0136號,學校用地,19187.89,094建字第0227號,4,,0,,1659.0,0,16.1,344.9,新建,1,1,RC造、鋼骨造,11512.73,2011-05-10,2010-04-15,,,
100使字第0137號,住3,130,098建字第0266號,5,0,0,0,275.0,1,17.2,64.92,新建,2,1,RC造,65,2011-05-10,2011-01-21,,2009-09-10,0
100使字第0138號,國中用地,10464,099建字第0227號,1,0,0,0,125.0,1,4.9,2851.96,新建,1,1,RC造,7612.04,2011-05-12,2010-11-19,,2010-08-20,0
100使字第0139號,住3,335,098建字第0072號,9,0,3,187.62,2170.0,1,29.4,150.71,新建,14,1,RC造,184.29,2011-05-12,2011-03-30,,2009-08-31,0
100使字第0140號,第四種商業區,186.73,097建字第0603號,13,0,3,237.78,4123.0,1,45.6,237,新建,33,1,RC造,51.84,2011-05-13,2011-03-17,,2009-06-16,111.22
100使字第0141號,特定專用區(一)(供特定商業使用),67.76,097建字第0575號,3,0,0,0,148.0,1,13.18,52.51,新建,1,1,RC造,13.55,2011-05-13,2010-11-11,,2009-08-12,19.24
